ham Hello, how are you today?
ham I'll call you later.
ham Are we still meeting tomorrow?
ham Don't forget to bring the documents.
ham See you at the office at 10 AM.
ham Can we reschedule the meeting to next Monday?
spam    You won a $1000 gift card! Click here to claim.
spam    Urgent! Your account has been compromised, click to secure it now.
spam    Congratulations, you have been selected for a prize. Reply to claim.
spam    This is your final notice! Pay now to avoid penalties.
spam    Earn $5000 from home in just 5 hours a week! Sign up now.
spam    Get a free vacation with our exclusive offer! Call now.
spam    Limited-time offer: Buy one, get one free! Click to purchase.
spam    You have an unclaimed reward waiting. Click here to redeem.
spam    Win big! Enter the lottery for a chance to win millions.
spam    Act now and receive a discount on your next purchase.
